Date,Consumption (MWh)
2017-04-07 00:00:00,2200060492.0
2017-04-08 00:00:00,1888298902.0
2017-04-09 00:00:00,1799867214.0
2017-04-10 00:00:00,2026325087.0
2017-04-11 00:00:00,2009614917.0
2017-04-12 00:00:00,2063764499.0
2017-04-13 00:00:00,2265483742.0
2017-04-14 00:00:00,2117648543.0
2017-04-15 00:00:00,2079591332.0
2017-04-16 00:00:00,2057322314.0
2017-04-17 00:00:00,2214709427.0
2017-04-18 00:00:00,2384946252.0
2017-04-19 00:00:00,2393741726.0
2017-04-20 00:00:00,2269595642.0
2017-04-21 00:00:00,2120898132.0
2017-04-22 00:00:00,2020116783.0
2017-04-23 00:00:00,1949175343.0
2017-04-24 00:00:00,2188400591.0
2017-04-25 00:00:00,2492259543.0
2017-04-26 00:00:00,2748921459.0
2017-04-27 00:00:00,2683581932.0
2017-04-28 00:00:00,2447438690.0
2017-04-29 00:00:00,2155136316.0
2017-04-30 00:00:00,2128446822.0
2017-05-01 00:00:00,2019119406.0
2017-05-02 00:00:00,2082378525.0
2017-05-03 00:00:00,2225647656.0
2017-05-04 00:00:00,1977934200.0
2017-05-05 00:00:00,1882889765.0
2017-05-06 00:00:00,1943710368.0
2017-05-07 00:00:00,1837045784.0
2017-05-08 00:00:00,2090225745.0
2017-05-09 00:00:00,2176922437.0
2017-05-10 00:00:00,1939776550.0
2017-05-11 00:00:00,1754090070.0
2017-05-12 00:00:00,1804246576.0
2017-05-13 00:00:00,1459479296.0
2017-05-14 00:00:00,1395710179.0
2017-05-15 00:00:00,1719647494.0
2017-05-16 00:00:00,1612427340.0
2017-05-17 00:00:00,1845669082.0
2017-05-18 00:00:00,1791127965.0
2017-05-19 00:00:00,1809638080.0
2017-05-20 00:00:00,1499191001.0
2017-05-21 00:00:00,1432516585.0
2017-05-22 00:00:00,1483042488.0
2017-05-23 00:00:00,1536058012.0
2017-05-24 00:00:00,1472215615.0
2017-05-25 00:00:00,1369356289.0
2017-05-26 00:00:00,1329045908.0
2017-05-27 00:00:00,1361407391.0
2017-05-28 00:00:00,1382525861.0
2017-05-29 00:00:00,1464026697.0
2017-05-30 00:00:00,1402187150.0
2017-05-31 00:00:00,1535548052.0
2017-06-01 00:00:00,1308865392.0
2017-06-02 00:00:00,1486239756.0
2017-06-03 00:00:00,1380013501.0
2017-06-04 00:00:00,1376275781.0
2017-06-05 00:00:00,1464568745.0
2017-06-06 00:00:00,1495584742.0
2017-06-07 00:00:00,1408897362.0
2017-06-08 00:00:00,1474466940.0
2017-06-09 00:00:00,1391231517.0
2017-06-10 00:00:00,1251183773.0
2017-06-11 00:00:00,1249203813.0
2017-06-12 00:00:00,1363166461.0
2017-06-13 00:00:00,1467057068.0
2017-06-14 00:00:00,1731966015.0
2017-06-15 00:00:00,1654431802.0
2017-06-16 00:00:00,1637764490.0
2017-06-17 00:00:00,1463779692.0
2017-06-18 00:00:00,1445023372.0
2017-06-19 00:00:00,1584020850.0
2017-06-20 00:00:00,1756423562.0
2017-06-21 00:00:00,1617758623.0
2017-06-22 00:00:00,1557066104.0
2017-06-23 00:00:00,1672734776.0
2017-06-24 00:00:00,1401803752.0
2017-06-25 00:00:00,1383675071.0
2017-06-26 00:00:00,1546781082.0
2017-06-27 00:00:00,1554525667.0
2017-06-28 00:00:00,1600698601.0
2017-06-29 00:00:00,1552294837.0
2017-06-30 00:00:00,1454382516.0
2017-07-01 00:00:00,1308024308.0
2017-07-02 00:00:00,1277548202.0
2017-07-03 00:00:00,1414026596.0
2017-07-04 00:00:00,1457223280.0
2017-07-05 00:00:00,1463356755.0
2017-07-06 00:00:00,1456593122.0
2017-07-07 00:00:00,1493214601.0
2017-07-08 00:00:00,1497122740.0
2017-07-09 00:00:00,1535565283.0
2017-07-10 00:00:00,1497721801.0
2017-07-11 00:00:00,1519037616.0
2017-07-12 00:00:00,1425344852.0
2017-07-13 00:00:00,1531384730.0
2017-07-14 00:00:00,1468279504.0
2017-07-15 00:00:00,1458129915.0
2017-07-16 00:00:00,1448465223.0
2017-07-17 00:00:00,1452620069.0
2017-07-18 00:00:00,1262434482.0
2017-07-19 00:00:00,1397999756.0
2017-07-20 00:00:00,1340254898.0
2017-07-21 00:00:00,1245807546.0
2017-07-22 00:00:00,1323213720.0
2017-07-23 00:00:00,1293152092.0
2017-07-24 00:00:00,1373141170.0
2017-07-25 00:00:00,1430355605.0
2017-07-26 00:00:00,1270364817.0
2017-07-27 00:00:00,1261905561.0
2017-07-28 00:00:00,1238256334.0
2017-07-29 00:00:00,1312347740.0
2017-07-30 00:00:00,1230353303.0
2017-07-31 00:00:00,1231858595.0
2017-08-01 00:00:00,1295490232.0
2017-08-02 00:00:00,1241114325.0
2017-08-03 00:00:00,1146456400.0
2017-08-04 00:00:00,1146420232.0
2017-08-05 00:00:00,1133109380.0
2017-08-06 00:00:00,1085000524.0
2017-08-07 00:00:00,1338792638.0
2017-08-08 00:00:00,1383024719.0
2017-08-09 00:00:00,1359860124.0
2017-08-10 00:00:00,1346975405.0
2017-08-11 00:00:00,1258448926.0
2017-08-12 00:00:00,1390442855.0
2017-08-13 00:00:00,1431627762.0
2017-08-14 00:00:00,1417618469.0
2017-08-15 00:00:00,1376516093.0
2017-08-16 00:00:00,1315294267.0
2017-08-17 00:00:00,1226022795.0
2017-08-18 00:00:00,1242277361.0
2017-08-19 00:00:00,1179548153.0
2017-08-20 00:00:00,1266628348.0
2017-08-21 00:00:00,1455695282.0
2017-08-22 00:00:00,1344297469.0
2017-08-23 00:00:00,1345426192.0
2017-08-24 00:00:00,1464909166.0
2017-08-25 00:00:00,1513308854.0
2017-08-26 00:00:00,1539421516.0
2017-08-27 00:00:00,1535535593.0
2017-08-28 00:00:00,1499599724.0
2017-08-29 00:00:00,1487869197.0
2017-08-30 00:00:00,1461058182.0
2017-08-31 00:00:00,1512246744.0
2017-09-01 00:00:00,1476127935.0
2017-09-02 00:00:00,1402070699.0
2017-09-03 00:00:00,1368103184.0
2017-09-04 00:00:00,1420118742.0
2017-09-05 00:00:00,1355719881.0
2017-09-06 00:00:00,1391579188.0
2017-09-07 00:00:00,1413636096.0
2017-09-08 00:00:00,1419112298.0
2017-09-09 00:00:00,1361873126.0
2017-09-10 00:00:00,1380835239.0
2017-09-11 00:00:00,1427287545.0
2017-09-12 00:00:00,1566445433.0
2017-09-13 00:00:00,1611019105.0
2017-09-14 00:00:00,1657802494.0
2017-09-15 00:00:00,1801011908.0
2017-09-16 00:00:00,1720688060.0
2017-09-17 00:00:00,1709966235.0
2017-09-18 00:00:00,1901584064.0
2017-09-19 00:00:00,1875126985.0
2017-09-20 00:00:00,1750338605.0
2017-09-21 00:00:00,1755037068.0
2017-09-22 00:00:00,1793057796.0
2017-09-23 00:00:00,1671571460.0
2017-09-24 00:00:00,1648564677.0
2017-09-25 00:00:00,1692094732.0
2017-09-26 00:00:00,1727900699.0
2017-09-27 00:00:00,1596145931.0
2017-09-28 00:00:00,1673285003.0
2017-09-29 00:00:00,1793248090.0
2017-09-30 00:00:00,1918933603.0
2017-10-01 00:00:00,2028348164.0
2017-10-02 00:00:00,2059173248.0
2017-10-03 00:00:00,2153119090.0
2017-10-04 00:00:00,2120125204.0
2017-10-05 00:00:00,2031242911.0
2017-10-06 00:00:00,2253457226.0
2017-10-07 00:00:00,2069723328.0
2017-10-08 00:00:00,2033567277.0
2017-10-09 00:00:00,1997056706.0
2017-10-10 00:00:00,1838974328.0
2017-10-11 00:00:00,1783163421.0
2017-10-12 00:00:00,1978482458.0
2017-10-13 00:00:00,1827426217.0
2017-10-14 00:00:00,1940896743.0
2017-10-15 00:00:00,1986608232.0
2017-10-16 00:00:00,2033358569.0
2017-10-17 00:00:00,2038323287.0
2017-10-18 00:00:00,2248768171.0
2017-10-19 00:00:00,2195288958.0
2017-10-20 00:00:00,2014078389.0
2017-10-21 00:00:00,2047195681.0
2017-10-22 00:00:00,2200956181.0
2017-10-23 00:00:00,2223743182.0
2017-10-24 00:00:00,2018799677.0
2017-10-25 00:00:00,2076560347.0
2017-10-26 00:00:00,2275920277.0
2017-10-27 00:00:00,2257976221.0
2017-10-28 00:00:00,2100626311.0
2017-10-29 00:00:00,2172690928.0
2017-10-30 00:00:00,2796792339.0
2017-10-31 00:00:00,2466925407.0
2017-11-01 00:00:00,2519173508.0
2017-11-02 00:00:00,2849383013.0
2017-11-03 00:00:00,2725727688.0
2017-11-04 00:00:00,2434224596.0
2017-11-05 00:00:00,2580472678.0
2017-11-06 00:00:00,2898419090.0
2017-11-07 00:00:00,2883338969.0
2017-11-08 00:00:00,3034319119.0
2017-11-09 00:00:00,2786469782.0
2017-11-10 00:00:00,2734743209.0
2017-11-11 00:00:00,2792863219.0
2017-11-12 00:00:00,2741541424.0
2017-11-13 00:00:00,3301358233.0
2017-11-14 00:00:00,2958588121.0
2017-11-15 00:00:00,2894531396.0
2017-11-16 00:00:00,2783057884.0
2017-11-17 00:00:00,3022167959.0
2017-11-18 00:00:00,2868113177.0
2017-11-19 00:00:00,2956992435.0
2017-11-20 00:00:00,2818655755.0
2017-11-21 00:00:00,2587197630.0
2017-11-22 00:00:00,2558728482.0
2017-11-23 00:00:00,2734971766.0
2017-11-24 00:00:00,3128401288.0
2017-11-25 00:00:00,2953241207.0
2017-11-26 00:00:00,2906112316.0
